Year,Happiness Rank (158),Happiness Score(10),Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
2015,34,6.455,0.967,1.265,0.739,0.557,0.032,0.576,2.319
2016,33,6.474,1.089,1.045,0.649,0.496,0.028,0.587,2.58
2017,32,6.424,1.128,1.426,0.647,0.580,0.032,0.572,2.040
2018,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,2.738
2019,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359,3.215
2020,54,5.999,1.007,1.348,0.794,0.609,0.032,0.377,1.832
2021,54,5.985,1.107,0.957,0.596,0.611,0.028,0.375,2.309
2022,61,5.891,1.535,1.096,0.697,0.617,0,0.321,1.6
,,,,,,,,,
average,45.75,6.1635,1.112375,1.245375,0.707125,0.583,0.029375,0.441375,2.329074056